partner_name,site_name,site_phone,web_addr,address
Microforce Nigeria Limited,MICROFORCE NIGERIA LTD,+2348036966079,https://www.microforce.xyz,"PLOT D95 LANDBRIDGE AVENUE, ONIRU, VICTORIA ISLAND, LAGOS, NIGERIA"
Modern Logistics Services Limited,Modern Logistics Services Limited,+2347063778524,https://www.modernlogistics.com.ng,"22 KING GEORGE V ROAD, 1ST FLOOR, ONIKAN, NIGERIA"
Multicore Limited,MULTICORE LTD,+2348036300582,https://www.multicoreltd.com,"57, ADEBAYO MOKUOLU STREET, ANTHONY, LAGOS, LAGOS, NIGERIA"
Multitek Data Systems Limited,Multitek Data Systems Limited,+2348032034053,https://www.multitekgroup.com,"4C Nzimiro Road, Old GRA, Port Harcourt, NIGERIA"
NAPET Telecommunication Limited,NAPET TELECOMMUNICATIONS LTD,+2348067324162,https://napet.nnpcgroup.com,"1ST FLOOR, MUKHTAR EL-YAKUB PLACE,, CENTRAL BUSINESS DISTRICT,, ABUJA, NIGERIA"
NEC West Africa Limited,NEC WEST AFRICA LTD - NIGERIA,+2349062834949,https://www.nec.xon.co.za,"31 VONO ROAD, ILUPEJU/MUSHIN, LAGOS, NIGERIA"
Negotium Processus Integration Technologies Limited,Negotium Processus Integration Technologies Limited,+2348056144067,https://www.npitl.com,"2ND FLOOR, PROVIDENCE HOUSE, LEKKI PHASE 1, LEKKI, NIGERIA"
NETCAT TECHNOLOGY SOLUTIONS LTD,NETCAT TECHNOLOGY SOLUTIONS LTD,+2348037076714,https://netcatsolutions.ng,"5 ADEPELE ST IKEJA, LAGOS 100271, NG, LAGOS, NIGERIA"
NETCOM AFRICA LTD,NETCOM AFRICA LTD,+23412718888,https://www.netcomafrica.com,"FLOOR SAPETRO BUILDING NO 1 ADEOLA ODEKU STREET 6TH, VICTORIA ISLAND, NIGERIA"
Netexcel Systems & Technologies Limited,NETEXCEL SYSTEMS & TECHNOLOGIES LTD,+2348144848271,https://www.netexcel.net,"5B AFOLABI AINA STREET, OFF ALLEN AVENUE IKEJA, IKEJA, NIGERIA"
NOEVATA SOLUTIONS,NOEVATA SOLUTIONS,+2347011858503,https://www.noevata.com,"11C, ATLANTIC BOULEVARD, OCEAN BAY ESTATE,, LEKKI, LAFIAJI, LAGOS, NIGERIA"
OT UNIVERSAL SOLUTIONS,OT UNIVERSAL SOLUTIONS,+2348033688540,https://otuniversalsolutions.com,"AMOKE SHODERU STREET, IKORODU, LAGOS, 26, IKORODU, NIGERIA"
OURANOS TECHNOLOGIES LIMITED,OURANOS TECHNOLOGIES LTD,+2347035476314,https://www.ouranos.com.ng,"19B COMMUNITY ROAD, OFF ALLEN AVENUE, LAGOS, NIGERIA"
PETRICOR DIGITAL TECHNOLOGIES LIMITED,PETRICOR DIGITAL TECHNOLOGIES LIMITED,+2348098011652,https://www.petricorng.com,"PLOT 18A, AKINOLA COLE CRESCENT ESTATE, OFF ADENIYI JONES STREET, IKEJA, NIGERIA"
PHILIPS PROJECTS CENTRE LTD,PHILIPS PROJECTS CENTRE,+2342620811,https://www.ppcng.com,"8 Kofo Abayomi Street,, Victoria Island,, Lagos, NIGERIA"
Platview Technologies Limited,PLATVIEW TECHNOLOGIES LTD,+23414546044,https://platview.com,"5A, ADEKUNLE FAJUYI CRESCENT, IKEJA, NIGERIA"
PRECIOUSGATE TECHNOLOGIES LIMITED,PRECIOUSGATE TECHNOLOGIES LTD,+2349088951905,https://www.preciousgatetech.com,"7B JOHN ADOLLO STREET (JULI ESTATE), OREGUN IKEJA LAGOS, OREGUN-IKEJA, IKEJA, NIGERIA"
PROLATO TECHNOLOGIES LTD,PROLATO TECHNOLOGIES LTD,+2348106080045,https://www.prolatotech.com,"BLOCK Y PLOT 1 MEGAMOUND ESTATE LEKKI COUNTY HOMES IKOTA, AJAH, LAGOS, LEKKI, NIGERIA"
Quomodo Systems Limited,QUOMODO SYSTEMS LTD,+2348068856600,https://www.quomodosystems.com,"3RD FLOOR, NAISUBA BUILDING, OFF NEXT CASH AND CARRY EXPRESS, BEFORE ALIBAT FURNITURE, ABUJA, ABUJA, NIGERIA"
RADIAL CIRCLE TELECOMS LTD,RADIAL CIRCLE TELECOMS LTD,+2348035050955,https://www.radialcircle.com,"BALARABE MUSE CRESCENT OFF SAMUE 56, LAGOS, NIGERIA"
REHOBOTH SYSTEMS LTD,REHOBOTH SYSTEMS LTD,+2348022256518,https://resypl.com,"21 SHASAH ROAD, SHASHA LAGOS NIGERIA, LAGOS IGBIDE, NIGERIA"
